==11941== NVPROF is profiling process 11941, command: ./GPU_TILE 10 10
==11941== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11941== Profiling application: ./GPU_TILE 10 10
==11941== Profiling result:
==11941== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "Tesla K40m (0)"
    Kernel: GPU(int, int, int, int*, int, int, int, int, int*, int*)
        256                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)           0           0           0
        256                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)           0           0           0
        256                     flop_count_sp_special   Floating Point Operations(Single Precision Special)           0           0           0
        256                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       7.73%       9.11%       8.03%
        256                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)      34.08%      38.54%      35.02%
        256                   stall_memory_dependency                    Issue Stall Reasons (Data Request)      23.30%      31.86%      30.27%
        256                             stall_texture                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
        256                                stall_sync                 Issue Stall Reasons (Synchronization)      25.02%      28.48%      25.75%
        256                               stall_other                           Issue Stall Reasons (Other)       0.06%       0.07%       0.07%
        256                     l1_shared_utilization                          L1/Shared Memory Utilization     Low (1)     Low (1)     Low (1)
        256                            l2_utilization                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
        256                           tex_utilization                             Texture Cache Utilization    Idle (0)    Idle (0)    Idle (0)
        256                          dram_utilization                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
        256                        sysmem_utilization                             System Memory Utilization     Low (1)     Low (1)     Low (1)
        256                       ldst_fu_utilization                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
        256                        alu_fu_utilization                  Arithmetic Function Unit Utilization     Low (1)     Low (1)     Low (1)
        256                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
        256                        tex_fu_utilization                     Texture Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
        256                             inst_executed                                 Instructions Executed       16537       16591       16569
        256                               inst_issued                                   Instructions Issued       18007       18061       18039
        256                               issue_slots                                           Issue Slots       12710       12764       12742
        256                     nc_l2_read_throughput                    L2 Throughput (Non-Coherent Reads)  0.00000B/s  0.00000B/s  0.00000B/s
        256                   nc_l2_read_transactions                     L2 Non-Coherent Read Transactions           0           0           0
        256                  nc_cache_global_hit_rate                          Non-Coherent Global Hit Rate       0.00%       0.00%       0.00%
