==21562== NVPROF is profiling process 21562, command: ./GPU 10 10
==21562== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21562== Profiling application: ./GPU 10 10
==21562== Profiling result:
==21562== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "Tesla K40m (0)"
    Kernel: GPU(int*, int*, int*, int, int, int, int, int)
       2047                         flop_count_dp_add       Floating Point Operations(Double Precision Add)           0           0           0
       2047                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)           0           0           0
       2047                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)           0           0           0
       2047                     flop_count_sp_special   Floating Point Operations(Single Precision Special)           0           0           0
       2047                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       0.56%      42.11%       4.14%
       2047                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)      11.96%      26.54%      16.99%
       2047                   stall_memory_dependency                    Issue Stall Reasons (Data Request)      11.90%      36.23%      25.40%
       2047                             stall_texture                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
       2047                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
       2047                               stall_other                           Issue Stall Reasons (Other)       0.18%       0.83%       0.29%
       2047                     l1_shared_utilization                          L1/Shared Memory Utilization     Low (1)     Low (1)     Low (1)
       2047                            l2_utilization                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
       2047                           tex_utilization                             Texture Cache Utilization    Idle (0)    Idle (0)    Idle (0)
       2047                          dram_utilization                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
       2047                        sysmem_utilization                             System Memory Utilization     Low (1)     Low (1)     Low (1)
       2047                       ldst_fu_utilization                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
       2047                        alu_fu_utilization                  Arithmetic Function Unit Utilization     Low (1)     Low (1)     Low (1)
       2047                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
       2047                        tex_fu_utilization                     Texture Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
       2047                             inst_executed                                 Instructions Executed          41        1376         711
       2047                               inst_issued                                   Instructions Issued          54        5416        2681
       2047                               issue_slots                                           Issue Slots          48        5178        2560
       2047                     nc_l2_read_throughput                    L2 Throughput (Non-Coherent Reads)  0.00000B/s  0.00000B/s  0.00000B/s
       2047                   nc_l2_read_transactions                     L2 Non-Coherent Read Transactions           0           0           0
       2047                  nc_cache_global_hit_rate                          Non-Coherent Global Hit Rate       0.00%       0.00%       0.00%
       2047                         nc_gld_throughput            Non-Coherent Global Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
       2047                         nc_gld_efficiency                   Non-Coherent Global Load Efficiency       0.00%       0.00%       0.00%
       2047                      l2_atomic_throughput                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
       2047                                inst_fp_32                               FP Instructions(Single)           0           0           0
       2047                                inst_fp_64                               FP Instructions(Double)           0           0           0
       2047                              inst_integer                                  Integer Instructions         147       22827       11462
       2047                          inst_bit_convert                              Bit-Convert Instructions           1        1024         512
       2047                              inst_control                             Control-Flow Instructions          65        1817         927
       2047                        inst_compute_ld_st                               Load/Store Instructions           5        5657        2818
       2047                                 inst_misc                                     Misc Instructions         194        5390        2784
       2047           inst_inter_thread_communication                             Inter-Thread Instructions           0           0           0
       2047                    atomic_replay_overhead                                Atomic Replay Overhead    0.000000    0.000000    0.000000
       2047                       atomic_transactions                                   Atomic Transactions           0           0           0
       2047           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
       2047                   sysmem_read_utilization                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
       2047                  sysmem_write_utilization                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
       2047                   l2_l1_read_transactions               L2 Read Transactions (L1 read requests)           4        2605        1295
       2047                  l2_l1_write_transactions             L2 Write Transactions (L1 write requests)           1        1413         651
       2047                  l2_tex_read_transactions                       L2 Transactions (Texture Reads)           0           0           0
       2047                    l2_l1_write_throughput                             L2 Throughput (L1 Writes)  7.2043MB/s  6.6379GB/s  3.1665GB/s
       2047                    l2_atomic_transactions                     L2 Transactions (Atomic requests)           0           0           0
       2047                          ecc_transactions                                      ECC Transactions           0        2523        1051
       2047                            ecc_throughput                                        ECC Throughput  0.00000B/s  11.837GB/s  5.1074GB/s
       2047                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       0.00%       0.00%       0.00%
       2047          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)      11.81%      48.15%      17.41%
       2047                        flop_sp_efficiency                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
       2047                        flop_dp_efficiency                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
       2047                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.00%      41.42%      35.56%
       2047                        stall_not_selected                    Issue Stall Reasons (Not Selected)       0.00%       0.41%       0.21%
       2047                  eligible_warps_per_cycle                       Eligible Warps Per Active Cycle    0.028571    0.119914    0.101679
       2047                         atomic_throughput                                     Atomic Throughput  0.00000B/s  0.00000B/s  0.00000B/s
